"user_id","datetime","weekday","place_name","transport_mode","lon_x","lat_y","geometry","traj","traj_id2"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:07:15,"Tue",NA,"Bike",8.559408,47.352081,c(2684680.5175376, 1245185.43919591),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:07:27,"Tue",NA,"Bike",8.559081,47.352035,c(2684655.88581244, 1245179.97255096),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:07:37,"Tue",NA,"Bike",8.558943,47.352037,c(2684645.45677132, 1245180.04602295),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:07:58,"Tue",NA,"Bike",8.558944,47.352295,c(2684645.12280581, 1245208.72896094),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:08:08,"Tue",NA,"Bike",8.558218,47.352292,c(2684590.2787037, 1245207.6125811),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:08:21,"Tue",NA,"Bike",8.557687,47.352699,c(2684549.5166751, 1245252.28651143),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:08:42,"Tue",NA,"Bike",8.556586,47.353409,c(2684465.21281274, 1245330.03156076),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:08:56,"Tue",NA,"Bike",8.556283,47.353691,c(2684441.87526972, 1245361.05542658),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:09:18,"Tue",NA,"Bike",8.555059,47.354673,c(2684347.85189443, 1245468.90809294),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:09:32,"Tue",NA,"Bike",8.554733,47.354946,c(2684322.79217959, 1245498.90718575),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:09:43,"Tue",NA,"Bike",8.55432,47.35532,c(2684291.00062177, 1245540.0411202),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:09:57,"Tue",NA,"Bike",8.553535,47.35635,c(2684230.07067388, 1245653.70353081),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:10:07,"Tue",NA,"Bike",8.553404,47.356579,c(2684219.8127608, 1245679.02091258),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:10:17,"Tue",NA,"Bike",8.553134,47.356969,c(2684198.80022139, 1245722.08757195),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:10:27,"Tue",NA,"Bike",8.552863,47.357153,c(2684178.03763907, 1245742.25215867),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:10:37,"Tue",NA,"Bike",8.552477,47.357528,c(2684148.28641171, 1245783.52702029),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:10:47,"Tue",NA,"Bike",8.551713,47.358511,c(2684089.02206442, 1245891.98846982),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:10:57,"Tue",NA,"Bike",8.55163,47.358689,c(2684082.47149967, 1245911.68785482),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:11:07,"Tue",NA,"Bike",8.551317,47.359227,c(2684057.97921135, 1245971.16218258),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:11:18,"Tue",NA,"Bike",8.550884,47.359741,c(2684024.46055039, 1246027.84003225),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:11:32,"Tue",NA,"Bike",8.550126,47.360614,c(2683965.82725282, 1246124.08046185),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:11:42,"Tue",NA,"Bike",8.54965,47.361275,c(2683928.83082098, 1246197.05492604),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:12:03,"Tue",NA,"Bike",8.548764,47.362487,c(2683859.99894132, 1246330.84636064),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:12:18,"Tue",NA,"Bike",8.548331,47.363056,c(2683826.39765372, 1246393.6397672),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:12:32,"Tue",NA,"Bike",8.548106,47.363275,c(2683809.05819298, 1246417.74579437),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:12:43,"Tue",NA,"Bike",8.547574,47.363789,c(2683768.06654562, 1246474.319434),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:12:58,"Tue",NA,"Bike",8.547406,47.364798,c(2683753.79190435, 1246586.31127656),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:13:08,"Tue",NA,"Bike",8.546969,47.365339,c(2683719.9349666, 1246645.98828252),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:13:18,"Tue",NA,"Bike",8.546453,47.365583,c(2683680.5779643, 1246672.56354695),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:13:28,"Tue",NA,"Bike",8.545838,47.366024,c(2683633.43477474, 1246720.93418905),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:13:53,"Tue",NA,"Bike",8.54441,47.366674,c(2683524.55943854, 1246791.67423034),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:14:07,"Tue",NA,"Bike",8.543505,47.36696,c(2683455.75780586, 1246822.50619665),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:14:17,"Tue",NA,"Bike",8.543347,47.366915,c(2683443.89468655, 1246817.33548711),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:14:31,"Tue",NA,"Bike",8.541984,47.366549,c(2683341.52096281, 1246775.19849537),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:14:42,"Tue",NA,"Bike",8.541142,47.366438,c(2683278.09858075, 1246761.9646213),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:15:07,"Tue",NA,"Bike",8.539386,47.365678,c(2683146.65387515, 1246675.61270508),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:15:17,"Tue",NA,"Bike",8.538601,47.365205,c(2683088.09942622, 1246622.19742675),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:15:27,"Tue",NA,"Bike",8.538033,47.364969,c(2683045.56521105, 1246595.3598493),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:15:37,"Tue",NA,"Bike",8.537716,47.364821,c(2683021.85212276, 1246578.57113664),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:15:48,"Tue",NA,"Bike",8.53737,47.364766,c(2682995.80369628, 1246572.09073611),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:15:58,"Tue",NA,"Bike",8.536507,47.36411,c(2682931.63995943, 1246498.25026357),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:16:12,"Tue",NA,"Bike",8.5354,47.363606,c(2682848.80814707, 1246441.05083079),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:16:22,"Tue",NA,"Bike",8.535147,47.363283,c(2682830.19991961, 1246404.87556708),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:16:43,"Tue",NA,"Bike",8.534142,47.363422,c(2682754.07236614, 1246419.26798921),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:16:57,"Tue",NA,"Bike",8.533765,47.363522,c(2682725.44090882, 1246429.98757388),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:17:17,"Tue",NA,"Bike",8.533356,47.363495,c(2682694.58945533, 1246426.55487247),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:17:28,"Tue",NA,"Bike",8.532929,47.364224,c(2682661.20626286, 1246507.14857425),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:17:42,"Tue",NA,"Bike",8.531871,47.364131,c(2682581.43656999, 1246495.69573863),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:17:52,"Tue",NA,"Bike",8.531864,47.364505,c(2682580.32855776, 1246537.26630411),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:18:02,"Tue",NA,"Bike",8.53179,47.364923,c(2682574.09176845, 1246583.65789242),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:18:12,"Tue",NA,"Bike",8.531579,47.365011,c(2682558.01828133, 1246593.21893001),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:18:23,"Tue",NA,"Bike",8.530979,47.364925,c(2682512.83233659, 1246583.02715972),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:18:37,"Tue",NA,"Bike",8.530481,47.364824,c(2682475.37370746, 1246571.27536781),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:18:47,"Tue",NA,"Bike",8.530183,47.364714,c(2682453.03528258, 1246558.73340033),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:18:57,"Tue",NA,"Bike",8.529507,47.364518,c(2682402.27845823, 1246536.23381373),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:19:08,"Tue",NA,"Bike",8.528765,47.364205,c(2682346.71679588, 1246500.65839604),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:19:22,"Tue",NA,"Bike",8.527925,47.36372,c(2682284.01764461, 1246445.85932647),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:19:42,"Tue",NA,"Bike",8.527306,47.362821,c(2682238.64897111, 1246345.26772081),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:19:52,"Tue",NA,"Bike",8.526959,47.362572,c(2682212.82230202, 1246317.22255079),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:20:07,"Tue",NA,"Bike",8.526607,47.362258,c(2682186.71790091, 1246281.94614536),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:20:21,"Tue",NA,"Bike",8.526616,47.362228,c(2682187.44396536, 1246278.62044214),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:20:31,"Tue",NA,"Bike",8.526647,47.362191,c(2682189.84260822, 1246274.53958412),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:20:41,"Tue",NA,"Bike",8.526645,47.362219,c(2682189.6483752, 1246277.65027661),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:20:51,"Tue",NA,"Bike",8.526441,47.362077,c(2682174.45792999, 1246261.65035536),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:21:02,"Tue",NA,"Bike",8.525954,47.361549,c(2682138.4853003, 1246202.44222245),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:21:12,"Tue",NA,"Bike",8.52512,47.361219,c(2682075.99565089, 1246164.88317587),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:21:22,"Tue",NA,"Bike",8.524524,47.360844,c(2682031.55240847, 1246122.57086463),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:21:32,"Tue",NA,"Bike",8.524081,47.360539,c(2681998.5582339, 1246088.20072238),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:21:42,"Tue",NA,"Bike",8.523671,47.360396,c(2681967.80741122, 1246071.87493307),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:21:52,"Tue",NA,"Bike",8.522885,47.360162,c(2681908.79369975, 1246045.04021446),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:22:03,"Tue",NA,"Bike",8.52245,47.359644,c(2681876.72975947, 1245986.99969288),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:22:17,"Tue",NA,"Bike",8.521852,47.359027,c(2681832.50405801, 1245917.78343781),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:22:27,"Tue",NA,"Bike",8.521652,47.358539,c(2681818.14477519, 1245863.32346842),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:22:38,"Tue",NA,"Bike",8.521726,47.357883,c(2681824.74144572, 1245790.47249221),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:23:06,"Tue",NA,"Bike",8.520972,47.357657,c(2681768.1293542, 1245764.56192945),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:23:16,"Tue",NA,"Bike",8.520839,47.357451,c(2681758.3980768, 1245741.52214157),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:23:26,"Tue",NA,"Bike",8.520915,47.357304,c(2681764.36471653, 1245725.25920052),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:23:37,"Tue",NA,"Bike",8.521185,47.357035,c(2681785.17384657, 1245695.63558512),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:23:47,"Tue",NA,"Bike",8.521528,47.356453,c(2681811.97807218, 1245631.29166115),"COMBINE","1"
"4bcef553-b12c-4d77-9728-097fb8af98d3",2023-04-11 16:23:57,"Tue",NA,"Bike",8.52169,47.356094,c(2681824.76706735, 1245591.55022411),"COMBINE","1"
